,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(35.2k Reviews),Public,"Mumbai,Maharashtra + 227 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(23.9k Reviews),Public,"Dublin,Dublin + 125 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(22k Reviews),Private,"Teaneck,New Jersey + 84 more",28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(28.9k Reviews),Public,"Mumbai,Maharashtra + 950 more",28 years old,50k-1 Lakh Employees (India)
4,HDFC Bank,4.0,(29.8k Reviews),Public,"Mumbai,Maharashtra + 1038 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(20.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 241 more",77 years old,1 Lakh+ Employees (India)
6,Capgemini,3.8,(17.5k Reviews),Public,Paris + 66 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.8,(17.2k Reviews),Public,"Noida,Uttar Pradesh + 150 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,3.9,(21.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 113 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(16.6k Reviews),Public,"Pune,Maharashtra + 171 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(16.2k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(15.3k Reviews),Public,"Mumbai,Maharashtra + 932 more",29 years old,50k-1 Lakh Employees (India)
12,Reliance jio,4.0,(12.3k Reviews),Public,"Navi Mumbai,Maharashtra + 853 more",15 years old,10k-50k Employees (India)
13,Larsen & Toubro ...,4.0,(15.5k Reviews),Public,"Mumbai,Maharashtra + 454 more",84 years old,10k-50k Employees (India)
14,Vodafone Idea,4.2,(12k Reviews),Public,"Gandhinagar,Gujrat + 525 more",4 years old,10k-50k Employees (India)
15,IBM,4.1,(12.2k Reviews),Public,"Armonk,New York + 105 more",111 years old,1 Lakh+ Employees (India)
16,Concentrix Corpo...,4.1,(11.7k Reviews),Public,"Fremont,California + 56 more",39 years old,10k-50k Employees (India)
17,Amazon,4.2,(11.5k Reviews),Private,"Seattle,Washington + 307 more",28 years old,1 Lakh+ Employees (India)
18,HDB Financial Se...,4.0,(10.5k Reviews),Private,"Ahmedabad,Gujrat + 658 more",15 years old,1 Lakh+ Employees (India)
19,Kotak Mahindra B...,3.9,(11k Reviews),Public,"Mumbai,Maharashtra + 433 more",19 years old,10k-50k Employees (India)
20,Teleperformance,3.6,(8.1k Reviews),Private,Paris + 106 more,44 years old,50k-1 Lakh Employees (India)
21,Bharti Airtel,4.1,(10.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 439 more",27 years old,5k-10k Employees (India)
22,Tata Motors,4.1,(7.7k Reviews),Public,"Pune,Maharashtra + 360 more",77 years old,50k-1 Lakh Employees (India)
23,Reliance Industr...,4.0,(32.3k Reviews),Public,"Navi Mumbai,Maharashtra + 372 more",49 years old,1 Lakh+ Employees (India)
24,Deloitte,4.0,(7k Reviews),Private,"New York,New York + 124 more",177 years old,10k-50k Employees (India)
25,Mahindra & Mahin...,4.1,(17k Reviews),Public,"Mumbai,Maharashtra + 360 more",77 years old,10k-50k Employees (India)
26,Reliance Retail,4.1,(10.4k Reviews),Private,"Navi Mumbai,Maharashtra + 441 more",16 years old,1 Lakh+ Employees (India)
27,IndusInd Bank,3.8,(5.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 494 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(5.3k Reviews),Private,"Mumbai,Maharashtra + 19 more",26 years old,10k-50k Employees (India)
29,Hinduja Global S...,3.9,(5.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 70 more",22 years old,10k-50k Employees (India)
30,Maruti Suzuki,4.1,(4.9k Reviews),"New Delhi,Delhi, Gurgaon/Gurugram + 347 more",,,
31,Samsung,4.0,(6.9k Reviews),"Suwon-Si,Gyeonggi-Do, Noida + 394 more",,,
32,DXC Technology,3.7,(5.3k Reviews),"Minato,Tokyo, Bengaluru/Bangalore + 49 more",,,
33,Flipkart,4.1,(7.2k Reviews),"Bangalore,Karnataka, Bengaluru/Bangalore + 350 more",,,
34,Infosys BPM,4.0,(4.5k Reviews),"Bangalore/Bengaluru,Karnataka, Pune + 39 more",,,
35,Ernst & Young,3.8,(4.4k Reviews),"London, Bengaluru/Bangalore + 62 more",,,
36,HSBC,4.1,(4.6k Reviews),"Pune,Maharashtra, Hyderabad/Secunderabad + 50 more",,,
37,Ericsson,4.2,(4.4k Reviews),"Stockholm,Stockholm County, Noida + 124 more",,,
38,Bajaj Finserv,4.1,(11k Reviews),"Pune,Maharashtra, Pune + 566 more",,,
39,Startek,3.5,(4.1k Reviews),"Mumbai,Maharashtra, Bengaluru/Bangalore + 48 more",,,
40,Conneqt Business Solutions,3.8,(4k Reviews),"Mumbai,Maharashtra, Hyderabad/Secunderabad + 134 more",,,
41,Dr. Reddy's,4.2,(4.1k Reviews),"Hyderabad/Secunderabad,Telangana, Visakhapatnam + 121 more",,,
42,Jana Small Finance Bank,3.9,(4k Reviews),"Bangalore/Bengaluru,Karnataka, Kolkata + 284 more",,,
43,Cipla Pharmaceutical,4.0,(3.9k Reviews),"Mumbai,Maharashtra, Goa + 175 more",,,
44,Sutherland Global Services,3.8,(4.2k Reviews),"Pittsford,New York, Chennai + 38 more",,,
45,ICICI Prudential Life Insurance,4.1,(3.8k Reviews),"Mumbai,Maharashtra, New Delhi + 380 more",,,
46,Mphasis,3.8,(3.8k Reviews),"Bangalore/Bengaluru,Karnataka, Pune + 38 more",,,
47,IDFC FIRST Bank,3.9,(3.8k Reviews),"Mumbai,Maharashtra, New Delhi + 294 more",,,
48,Indian Army,4.7,(3.7k Reviews),"New Delhi,Delhi, Pune + 252 more",,,
49,Bajaj Allianz Life Insurance,4.1,(3.7k Reviews),"Pune, Kolkata + 399 more",,,
50,Yes Bank,3.9,(3.6k Reviews),"Mumbai,Maharashtra, New Delhi + 315 more",,,
51,Asian Paints,4.3,(4k Reviews),"Mumbai,Maharashtra, Rohtak + 290 more",,,
52,Lupin,4.2,(3.6k Reviews),"Mumbai,Maharashtra, Pune + 118 more",,,
53,Home Credit Finance,4.2,(3.5k Reviews),"Gurugram, Navi Mumbai + 95 more",,,
54,BYJU'S,3.7,(7.1k Reviews),"Bangalore,Karnataka, Bengaluru/Bangalore + 125 more",,,
55,HDFC LIFE,4.1,(3.4k Reviews),"Mumbai,Maharashtra, Kolkata + 366 more",,,
56,NTT DATA,4.0,(6.7k Reviews),"Chiyoda City,Tokyo, Bengaluru/Bangalore + 33 more",,,
57,ITC,3.9,(6.2k Reviews),"Kolkata,West Bengal, Bengaluru/Bangalore + 206 more",,,
58,Intelenet Global Services,3.7,(3.2k Reviews),"Mumbai,Maharashtra, Gurgaon/Gurugram + 55 more",,,
59,EXL Service,3.9,(4.1k Reviews),"New York City,New York, Noida + 30 more",,,
60,Zydus Cadila,4.1,(4.1k Reviews),Public,"Ahmedabad, India + 125 more",70 years old,10k-50k Employees (India)
61,Bajaj Finance,4.2,(3.1k Reviews),Private,"Pune,Maharashtra + 541 more",35 years old,1k-5k Employees (India)
62,Hewlett-Packard ...,4.3,(4.4k Reviews),Private,"Houston,Texas + 78 more",83 years old,10k-50k Employees (India)
63,OPPO,4.0,(3.2k Reviews),Public,"Dongguan,Guangdong + 292 more",18 years old,10k-50k Employees (India)
64,Udaan,4.2,(3.1k Reviews),Private,"Bangalore,Karnataka + 271 more",6 years old,1k-5k Employees (India)
65,Hindustan Unilev...,4.3,(5k Reviews),Public,"Mumbai,Maharashtra + 307 more",89 years old,10k-50k Employees (India)
66,Ujjivan Small Fi...,4.1,(3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 343 more",5 years old,10k-50k Employees (India)
67,Reliance Communi...,4.0,(3.4k Reviews),Public,"Navi Mumbai,Maharashtra + 352 more",20 years old,10k-50k Employees (India)
68,Shapoorji Pallon...,4.3,(4.5k Reviews),Private,"Mumbai,Maharashtra + 125 more",157 years old,1k-5k Employees (India)
69,UltraTech Cement,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 285 more",39 years old,10k-50k Employees (India)
70,Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 171 more",74 years old,10k-50k Employees (India)
71,L&T Infotech,3.9,(3k Reviews),Public,"Mumbai,Maharashtra + 74 more",26 years old,10k-50k Employees (India)
72,Paytm,3.7,(3.6k Reviews),Private,Noida + 204 more,12 years old,10k-50k Employees (India)
73,Future Group,4.1,(9.1k Reviews),Private,"Mumbai,Maharashtra + 186 more",9 years old,50k-1 Lakh Employees (India)
74,Shriram Transpor...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 577 more",43 years old,10k-50k Employees (India)
75,IIFL,3.9,(2.9k Reviews),Public,"Mumbai,Maharashtra + 388 more",27 years old,5k-10k Employees (India)
76,Mahindra & Mahin...,4.3,(2.9k Reviews),Public,"Mumbai,Maharashtra + 499 more",31 years old,10k-50k Employees (India)
77,Apollo Hospitals,4.0,(4.4k Reviews),Public,"San Francisco,California + 150 more",39 years old,50k-1 Lakh Employees (India)
78,Sun Pharmaceutic...,4.1,(3.3k Reviews),Public,Mumbai + 131 more,39 years old,10k-50k Employees (India)
79,PwC,3.7,(2.8k Reviews),Partnership,London + 57 more,24 years old,5k-10k Employees (India)
80,Aurobindo Pharma,4.1,(3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 42 more",36 years old,1k-5k Employees (India)
81,Vivo,4.1,(2.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 296 more",13 years old,5k-10k Employees (India)
82,Nokia,4.3,(2.9k Reviews),Private,"Espoo,Southern Finland + 162 more",157 years old,10k-50k Employees (India)
83,Wipro BPS,3.8,(2.7k Reviews),Bengaluru + 34 more,22 years old,1 Lakh+ Employees (India),
84,Oyo Rooms,3.6,(2.8k Reviews),Private,"Gurgaon,Haryana + 99 more",9 years old,1k-5k Employees (India)
85,KPMG,3.7,(2.6k Reviews),Partnership,"Amstelveen,North Holland + 49 more",35 years old,10k-50k Employees (India)
86,Siemens,4.2,(2.7k Reviews),Public,"Munich,Bavaria + 92 more",30 years old,1k-5k Employees (India)
87,JP Morgan Chase,4.1,(2.6k Reviews),Private,"New York,New York + 17 more",22 years old,10k-50k Employees (India)
88,TVS Motor,4.1,(2.8k Reviews),Public,"Chennai,Tamil Nadu + 217 more",43 years old,5k-10k Employees (India)
89,eClerx,3.6,(2.6k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
90,Mindtree,4.1,(2.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 22 more",23 years old,10k-50k Employees (India)
91,Max Life Insuran...,4.2,(2.5k Reviews),"Gurgaon/Gurugram,Haryana + 237 more",22 years old,10k-50k Employees (India),
92,Bandhan Bank,3.9,(2.7k Reviews),Public,"Kolkata,West Bengal + 438 more",21 years old,10k-50k Employees (India)
93,Hero MotoCorp,4.2,(2.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 240 more",38 years old,5k-10k Employees (India)
94,Cyient,3.7,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
95,Fidelity Nationa...,4.0,(2.5k Reviews),Private,"Jacksonville,Florida + 27 more",17 years old,10k-50k Employees (India)
96,Hyundai Motor,4.1,(3.3k Reviews),Private,Seoul + 208 more,55 years old,5k-10k Employees (India)
97,Atos Syntel,3.7,(4k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
98,Oracle,3.9,(3.1k Reviews),Public,"Austin,Texas + 27 more",45 years old,10k-50k Employees (India)
99,JLL,4.3,(2.4k Reviews),Private,"Mumbai,Maharashtra + 54 more",25 years old,10k-50k Employees (India)
100,Tata Projects,4.2,(2.4k Reviews),Public,"Mumbai,Maharashtra + 172 more",43 years old,1k-5k Employees (India)
101,Bosch,4.3,(2.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 74 more",136 years old,10k-50k Employees (India)
102,JustDial,3.6,(2.3k Reviews),Public,"Mumbai,Maharashtra + 115 more",26 years old,10k-50k Employees (India)
103,First Source,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 43 more",21 years old,5k-10k Employees (India)
104,JSW Steel,3.9,(3.6k Reviews),Public,"Mumbai,Maharashtra + 82 more",40 years old,10k-50k Employees (India)
105,Wells Fargo Indi...,4.2,(2.3k Reviews),Private,"San Francisco,California + 10 more",24 years old,10k-50k Employees (India)
106,AU Small Finance...,4.0,(3k Reviews),Private,"Jaipur,Rajasthan + 246 more",26 years old,10k-50k Employees (India)
107,Delhivery,4.2,(2.3k Reviews),Private,"Delhi,NCT + 368 more",11 years old,10k-50k Employees (India)
108,Axis Direct,4.0,(2.2k Reviews),Private,"San Mateo,California + 262 more",11 years old,1k-5k Employees (India)
109,Wipro Consumer ...,3.8,(2.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 66 more",77 years old,1k-5k Employees (India)
110,Godrej & Boyce M...,3.9,(2.3k Reviews),Private,"Mumbai,Maharashtra + 116 more",125 years old,10k-50k Employees (India)
111,TATA Steel,4.0,(3.5k Reviews),Public,"Mumbai,Maharashtra + 109 more",115 years old,10k-50k Employees (India)
112,Hexaware Technol...,3.6,(2.3k Reviews),Public,"Mumbai,Maharashtra + 25 more",32 years old,10k-50k Employees (India)
113,Dell,4.1,(3.1k Reviews),Private,"Round Rock,Texas + 77 more",38 years old,50k-1 Lakh Employees (India)
114,Viatris,4.2,(2.2k Reviews),"Canonsburg,Pennsylvania + 56 more",61 years old,1k-5k Employees (India),
115,Dominos Pizza,4.2,(2.2k Reviews),Public,"Ypsilanti,Michigan + 182 more",62 years old,1k-5k Employees (India)
116,Aditya Birla Fas...,4.2,(2.5k Reviews),Private,Mumbai + 176 more,7 years old,10k-50k Employees (India)
117,UnitedHealth,4.1,(3.5k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
118,iEnergizer,3.5,(2.1k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,10k-50k Employees (Global)
119,Omega Healthcare,3.7,(2.1k Reviews),Private,Florida + 23 more,18 years old,1k-5k Employees (India)
120,Fullerton India,4.3,(2.1k Reviews),Private,Mumbai + 356 more,15 years old,10k-50k Employees (India)
121,Manappuram Finan...,4.0,(2.7k Reviews),Public,"Thrissur/Trichur,Kerala + 328 more",73 years old,10k-50k Employees (India)
122,SBI Cards & Paym...,3.9,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 208 more",24 years old,1k-5k Employees (India)
123,Megha Engineerin...,4.2,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 151 more",33 years old,5k-10k Employees (India)
124,BNY Mellon,4.1,(2k Reviews),Private,"New York City,New York + 8 more",18 years old,10k-50k Employees (India)
125,Royal Enfield,4.2,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 205 more",67 years old,1k-5k Employees (India)
126,Nagarjuna Constr...,4.1,(2.1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 158 more",24 years old,201-500 Employees (India)
127,State Bank of In...,4.0,(2k Reviews),"Mumbai,Maharashtra + 287 more",216 years old,1 Lakh+ Employees (India),
128,JBM Group,4.1,(2.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 69 more",39 years old,1k-5k Employees (India)
129,Cgi Group,4.1,(2k Reviews),Private,"Montreal,Quebec + 12 more",31 years old,10k-50k Employees (India)
130,Motherson Sumi S...,3.9,(3.1k Reviews),Public,"Noida,Uttar Pradesh + 57 more",36 years old,1k-5k Employees (India)
131,Quess,3.9,(6.3k Reviews),Public,Bangalore + 257 more,15 years old,1k-5k Employees (India)
132,Muthoot Fincorp,4.0,(1.9k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 364 more",135 years old,10k-50k Employees (India)
133,Sodexo,4.1,(2k Reviews),Private,Issy Les Moulineaux + 101 more,14 years old,10k-50k Employees (India)
134,Muthoot Group,3.6,(3.8k Reviews),Public,"Wedel,Schleswig-holstein + 306 more",135 years old,1k-5k Employees (India)
135,Tata Communicati...,4.1,(2.5k Reviews),Public,"Mumbai,Maharashtra + 84 more",36 years old,10k-50k Employees (India)
136,D Mart,4.0,(1.9k Reviews),Private,"Mumbai,Maharashtra + 128 more",22 years old,5k-10k Employees (India)
137,Wipro Enterprise...,3.8,(1.9k Reviews),Bangalore + 63 more,77 years old,1 Lakh+ Employees (India),
138,LG Electronics,4.0,(1.9k Reviews),Public,"Seoul,Seoul + 171 more",64 years old,5k-10k Employees (India)
139,Simplex Infrastr...,3.7,(2k Reviews),Public,"Kolkata,West Bengal + 116 more",98 years old,1k-5k Employees (India)
140,Flex,4.1,(1.9k Reviews),Private,San Jose + 32 more,53 years old,10k-50k Employees (India)
141,L&T Financial Se...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 342 more",28 years old,10k-50k Employees (India)
142,Equitas Small Fi...,4.1,(1.9k Reviews),Private,"Chennai,Tamil Nadu + 261 more",15 years old,1k-5k Employees (India)
143,John Deere,4.3,(2k Reviews),Private,"Moline,Illinois + 83 more",21 years old,1k-5k Employees (India)
144,Hetero Drugs,4.0,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",29 years old,1k-5k Employees (India)
145,ICICI Lombard Ge...,3.8,(1.8k Reviews),Public,"Mumbai,Maharashtra + 174 more",21 years old,5k-10k Employees (India)
146,IQVIA,4.2,(1.8k Reviews),Partnership,"Durham,North Carolina + 33 more",40 years old,10k-50k Employees (India)
147,Hindustan Coca C...,4.4,(1.8k Reviews),Private,Bangalore + 152 more,25 years old,1k-5k Employees (India)
148,CBRE,4.2,(1.8k Reviews),Private,"Los Angeles,California + 46 more",116 years old,10k-50k Employees (India)
149,Bajaj Auto,4.1,(5k Reviews),Public,"Pune,Maharashtra + 182 more",77 years old,201-500 Employees (India)
150,Ford Motor,4.5,(2.1k Reviews),Public,"Dearborn,Michigan + 96 more",119 years old,5k-10k Employees (India)
151,Arvind Group,4.1,(2k Reviews),Public,"Ahmedabad,Gujrat + 127 more",91 years old,10k-50k Employees (India)
152,Abbott Healthcar...,4.1,(3k Reviews),Public,"Illinois City,Illinois + 131 more",31 years old,10k-50k Employees (India)
153,Subros,4.0,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India)
154,Gati kwe,4.1,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 140 more",10 years old,1k-5k Employees (India)
155,Ecom Express,4.2,(1.8k Reviews),Private,"Gurgaon,Haryana + 400 more",10 years old,10k-50k Employees (India)
156,Shoppers Stop,4.3,(1.9k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
157,L&T Construction,4.0,(1.9k Reviews),Public,Chennai + 210 more,78 years old,50k-1 Lakh Employees (India)
158,Alembic Pharmace...,4.1,(1.8k Reviews),Public,"Vadodara/Baroda,Gujrat + 105 more",115 years old,5k-10k Employees (India)
159,SBI Life Insuran...,3.8,(1.8k Reviews),Public,"Mumbai,Maharashtra + 366 more",21 years old,10k-50k Employees (India)
160,Amdocs,4.0,(1.8k Reviews),Private,"Chesterfield,Missouri + 10 more",40 years old,10k-50k Employees (India)
161,Indian Air Force,4.6,(1.7k Reviews),Private,"New Delhi,Delhi + 93 more",90 years old,1 Lakh+ Employees (India)
162,Whitehat jr,4.0,(1.7k Reviews),"Mumbai,Maharashtra + 42 more",4 years old,5k-10k Employees (India),
163,Cholamandalam In...,4.2,(1.7k Reviews),Private,"Chennai,Tamil Nadu + 414 more",44 years old,1k-5k Employees (India)
164,McDonald's,4.3,(1.7k Reviews),Private,"Chicago,Illinois + 109 more",67 years old,5k-10k Employees (India)
165,Cummins,4.3,(1.7k Reviews),"Columbus,Indiana + 72 more",60 years old,10k-50k Employees (India),
166,NatWest Group,4.0,(1.7k Reviews),Chennai + 16 more,10k-50k Employees (India),,
167,UST,4.0,(1.8k Reviews),Private,"Aliso Viejo,California + 29 more",21 years old,10k-50k Employees (India)
168,Lava Internation...,4.1,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 192 more",13 years old,1k-5k Employees (India)
169,Suzlon Group,4.1,(1.7k Reviews),Public,"Pune,Maharashtra + 73 more",27 years old,5k-10k Employees (India)
170,Indiamart Interm...,3.7,(1.7k Reviews),Private,"Noida,Uttar Pradesh + 89 more",26 years old,10k-50k Employees (India)
171,Thermax,4.3,(1.9k Reviews),Public,"Pune,Maharashtra + 98 more",42 years old,1k-5k Employees (India)
172,Schneider Electr...,4.2,(3.2k Reviews),Private,Paris + 60 more,23 years old,10k-50k Employees (India)
173,KEC Internationa...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 169 more",77 years old,5k-10k Employees (India)
174,Robert Bosch Eng...,4.1,(1.7k Reviews),Private,Gerlingen + 16 more,32 years old,10k-50k Employees (India)
175,Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 153 more",26 years old,201-500 Employees (India)
176,VE Commercial Ve...,4.1,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 95 more",14 years old,1k-5k Employees (India)
177,CMS IT Services,3.1,(1.7k Reviews),Private,"Bangalore,Karnataka + 108 more",8 years old,5k-10k Employees (India)
178,DTDC Express,4.0,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 173 more",32 years old,1k-5k Employees (India)
179,Varun Beverages,4.0,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 163 more",27 years old,5k-10k Employees (India)
180,Intas Pharmaceut...,4.2,(1.7k Reviews),Private,"Ahmedabad,Gujrat + 89 more",22 years old,5k-10k Employees (India)
181,Bel,4.3,(1.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 27 more",68 years old,5k-10k Employees (India)
182,Atos,3.8,(5.6k Reviews),Private,"Vilnius,Vilniaus Apskritis + 28 more",25 years old,10k-50k Employees (India)
183,BigBasket,4.1,(1.7k Reviews),Private,"Bangalore,Karnataka + 61 more",11 years old,1k-5k Employees (India)
184,ABB Group,4.1,(1.6k Reviews),Public,Zurich + 81 more,21 years old,5k-10k Employees (India)
185,Honda Motorcycle...,4.1,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 141 more",23 years old,5k-10k Employees (India)
186,Glenmark Pharmac...,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 97 more",45 years old,5k-10k Employees (India)
187,Macleods Pharmac...,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 65 more",36 years old,5k-10k Employees (India)
188,GlobalLogic,3.9,(1.6k Reviews),Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India)
189,Ipca Laboratorie...,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 88 more",73 years old,5k-10k Employees (India)
190,Reliance Nippon ...,3.9,(1.6k Reviews),Private,"Mumbai,Maharashtra + 354 more",22 years old,10k-50k Employees (India)
191,Indian Oil Corpo...,4.4,(1.8k Reviews),Private,"Delhi/NCR,Delhi + 152 more",63 years old,10k-50k Employees (India)
192,Alkem Laboratori...,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 104 more",49 years old,10k-50k Employees (India)
193,Standard Charter...,4.2,(3.6k Reviews),Private,London + 56 more,53 years old,5k-10k Employees (India)
194,Bajaj Electrical...,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 153 more",84 years old,1k-5k Employees (India)
195,Muthoot Finance,3.6,(1.6k Reviews),"Kochi/Cochin,Kerala + 327 more",83 years old,10k-50k Employees (India),
196,American Express,4.3,(1.7k Reviews),Private,"New York City,New York + 33 more",172 years old,10k-50k Employees (India)
197,State Street Syn...,3.8,(1.6k Reviews),Private,Mumbai + 11 more,18 years old,501-1k Employees (India)
198,Titan Company,4.4,(1.6k Reviews),Public,"Mumbai,Maharashtra + 108 more",4 years old,5k-10k Employees (India)
199,Havells,4.2,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 103 more",39 years old,5k-10k Employees (India)
200,DCB Bank,3.9,(1.5k Reviews),Private,"Mumbai,Maharashtra + 203 more",92 years old,5k-10k Employees (India)
201,Future Retail,4.2,(4k Reviews),Public,"San Francisco,California + 172 more",35 years old,10k-50k Employees (India)
202,PepsiCo,4.1,(1.6k Reviews),Private,"Harrison,New York + 186 more",33 years old,1 Lakh+ Employees (India)
203,Deutsche Bank,4.2,(1.5k Reviews),Private,Frankfurt + 28 more,152 years old,10k-50k Employees (India)
204,Tractors and Far...,4.2,(1.5k Reviews),Public,"Chennai,Tamil Nadu + 121 more",62 years old,5k-10k Employees (India)
205,Pidilite Industr...,4.3,(1.6k Reviews),Public,"Mumbai,Maharashtra + 156 more",63 years old,5k-10k Employees (India)
206,Huawei Technolog...,3.8,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 83 more",20 years old,501-1k Employees (India)
207,Hindalco Industr...,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 57 more",64 years old,10k-50k Employees (India)
208,Radisson Hotels,3.9,(1.5k Reviews),Private,"Minnetonka,Minnesota + 86 more",113 years old,10k-50k Employees (India)
209,Torrent Pharmace...,4.1,(1.5k Reviews),Public,"Ahmedabad,Gujrat + 82 more",51 years old,5k-10k Employees (India)
210,Randstad,4.1,(1.5k Reviews),Private,"Chennai,Tamil Nadu + 171 more",30 years old,1k-5k Employees (India)
211,Rivigo,3.9,(1.5k Reviews),Private,"Gurgaon,Haryana + 136 more",8 years old,1k-5k Employees (India)
212,Swiggy,4.1,(1.5k Reviews),Private,"Bangalore,Karnataka + 113 more",8 years old,1k-5k Employees (India)
213,24/7 Customer,3.6,(1.5k Reviews),Private,"San Jose,California + 16 more",22 years old,5k-10k Employees (India)
214,Team Lease,4.0,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 156 more",6 years old,1k-5k Employees (India)
215,Virtusa Consulti...,3.7,(1.5k Reviews),Private,"Southborough,Massachusetts + 20 more",26 years old,5k-10k Employees (India)
216,Jindal Steel and...,4.0,(1.7k Reviews),Private,"Delhi/NCR,New Delhi + 82 more",70 years old,10k-50k Employees (Global)
217,ACC,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 152 more",86 years old,5k-10k Employees (India)
218,MRF Tyres,3.7,(1.5k Reviews),Public,"Chennai,Tamil Nadu + 154 more",76 years old,1k-5k Employees (India)
219,Capita,3.8,(1.5k Reviews),Private,"Indore,Madhya Pradesh + 12 more",17 years old,1k-5k Employees (India)
220,KPIT Technologie...,3.4,(1.4k Reviews),Private,"Pune,Maharashtra + 19 more",32 years old,5k-10k Employees (India)
221,Vishal Mega Mart,3.9,(1.4k Reviews),Private,"Ahmedabad,Gujrat + 207 more",14 years old,5k-10k Employees (India)
222,HCL Infosystems,3.9,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 95 more",46 years old,10k-50k Employees (India)
223,Apollo Tyres,4.3,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 125 more",50 years old,5k-10k Employees (India)
224,Patanjali Ayurve...,4.0,(1.4k Reviews),Private,"Haridwar,Uttarakhand + 197 more",16 years old,5k-10k Employees (India)
225,Eureka Forbes,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 138 more",40 years old,201-500 Employees (India)
226,Maersk,4.3,(1.4k Reviews),Private,Copenhagen + 17 more,118 years old,10k-50k Employees (India)
227,RSPL Group,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 115 more",35 years old,1k-5k Employees (India)
